Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_St,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
450092,Fort Duncan Medical Center,Eagle Pass,3333 N Foster Maldonado Blvd,48,78852,TX,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,16,71492.875,7609.625,6442.625
230117,Ascension Borgess Hospital,Kalamazoo,1521 Gull Road,26,49048,MI,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",189,PULMONARY EDEMA AND RESPIRATORY FAILURE,31,48236.48387,11113.83871,7269.290323
140067,Saint Francis Medical Center,Peoria,530 Ne Glen Oak Ave,17,61637,IL,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",247,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC,105,98836.08571,16865.26667,12426.2
40007,Chi-St Vincent Infirmary,Little Rock,Two St Vincent Circle,5,72205,AR,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,70,39567.85714,13125.1,11901.02857
390035,St Luke's Hospital - Upper Bucks Campus,Quakertown,3000 St. Luke's Drive,42,18951,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",643,ENDOCRINE DISORDERS WITH MCC,11,101355.6364,13228.09091,12230.54546
340141,Novant Health New Hanover Regional Medical Center,Wilmington,2131 S 17th St Box 9000,37,28402,NC,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",492,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH MCC",15,87320.13333,28669.06667,26705.8
240080,M Health Fairview University Of Mn,Minneapolis,2450 Riverside Avenue,27,55454,MN,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",862,POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITH MCC,13,72074,21413.69231,17420.38462
100032,Bayfront Health St Petersburg,Saint Petersburg,701 6th St S,12,33701,FL,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",493,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH CC",15,140954,16312.26667,13335.13333
150012,Saint Joseph Regional Medical Center,Mishawaka,5215 Holy Cross Pkwy,18,46545,IN,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",480,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC,17,69999.29412,21627.23529,20280.41177
390231,Abington Memorial Hospital,Abington,1200 Old York Road,42,19001,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",180,RESPIRATORY NEOPLASMS WITH MCC,19,67590.89474,15075.94737,12685.10526
300005,Concord Hospital- Laconia,Laconia,80 Highland St,33,3246,NH,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,14,44847.21429,13075.35714,11964
390133,Lehigh Valley Hospital,Allentown,1200 South Cedar Crest Boulevard,42,18103,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",155,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",12,83956.33333,8031.333333,5507.833333
100057,Adventhealth Waterman,Tavares,1000 Waterman Way,12,32778,FL,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",243,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,34,84630.11765,15578.35294,14296.94118
340030,Duke University Hospital,Durham,Po Box 3814 Dumc  Erwin Rd,37,27710,NC,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",227,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,13,273470.5385,55823.69231,52483.53846
330214,Nyu Langone Hospitals,New York,550 First Avenue,36,10016,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",885,PSYCHOSES,25,102915.68,18343.64,14958.4
